100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000368088, 0.0047401, 0.0362397, 0.270883, 36.768, 
0.000343627, 0.00484628, 0.0362788, 0.28348, 36.3394, 
0.000412309, 0.00653792, 0.0372815, 0.285979, 36.8907, 
0.000344998, 0.00489179, 0.0370423, 0.279687, 37.5197, 
0.000477851, 0.00590888, 0.0389231, 0.286402, 37.1317, 
0.000516801, 0.00624886, 0.0434759, 0.284866, 37.2532, 
0.000423379, 0.0048333, 0.0392747, 0.289706, 37.474, 
0.00044633, 0.00504465, 0.0366199, 0.272271, 37.054, 
0.000416329, 0.00527554, 0.0389969, 0.280418, 37.412, 
0.000387068, 0.00521585, 0.0411392, 0.27925, 37.8818, 
