100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.0016392, 0.0110061, 0.0487758, 0.331581, 38.567, 
0.00129167, 0.00795879, 0.0418922, 0.362281, 38.6749, 
0.0013283, 0.0118665, 0.0496171, 0.370721, 38.2384, 
0.00161742, 0.0080761, 0.0469741, 0.322571, 38.6189, 
0.00128993, 0.0107457, 0.0444212, 0.339255, 39.1463, 
0.00127809, 0.00780111, 0.0472779, 0.351305, 38.8563, 
0.00127522, 0.0114461, 0.0397174, 0.359835, 38.1461, 
0.00128561, 0.0076082, 0.0488397, 0.340286, 38.9888, 
0.00128795, 0.00824491, 0.0484828, 0.353257, 38.782, 
0.00138005, 0.0144463, 0.0505559, 0.334013, 39.0083, 
