100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000638234, 0.00572222, 0.0393584, 0.303277, 37.5286, 
0.000673885, 0.00534794, 0.0415288, 0.295396, 36.3082, 
0.000733046, 0.00513981, 0.0417464, 0.315085, 36.066, 
0.000672445, 0.00518655, 0.0403216, 0.299749, 36.2, 
0.000765697, 0.00489114, 0.039314, 0.3302, 36.6947, 
0.000648845, 0.00477061, 0.0396422, 0.292853, 37.5509, 
0.000890289, 0.00573938, 0.038949, 0.307435, 37.4574, 
0.000817808, 0.00509827, 0.0411121, 0.328725, 37.1422, 
0.000642245, 0.00521183, 0.0406541, 0.31359, 38.0536, 
0.000867149, 0.00532397, 0.040475, 0.312451, 38.2258, 
