100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000257576, 0.00402494, 0.0316774, 0.256022, 35.3584, 
0.000351958, 0.00400679, 0.0330453, 0.264217, 35.963, 
0.000276407, 0.00371989, 0.0329473, 0.261102, 35.5337, 
0.000323117, 0.00414431, 0.0342688, 0.262349, 35.8009, 
0.000251315, 0.0036581, 0.0332768, 0.261584, 36.5565, 
0.000252586, 0.00388038, 0.0325035, 0.261342, 35.9975, 
0.000335895, 0.00399013, 0.0335743, 0.300897, 36.2019, 
0.000288857, 0.00378285, 0.0325071, 0.263101, 35.9776, 
0.000268816, 0.0037769, 0.0384392, 0.26156, 36.4103, 
0.000277166, 0.00405481, 0.0354404, 0.269748, 36.6126, 
