100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000254726, 0.00383559, 0.0317754, 0.266824, 37.1341, 
0.000328267, 0.00411944, 0.0331935, 0.263195, 36.8172, 
0.00043053, 0.00391642, 0.0323688, 0.266317, 35.6198, 
0.000393938, 0.00413276, 0.032596, 0.266525, 38.4312, 
0.000304456, 0.00393047, 0.0340861, 0.265194, 37.0832, 
0.000297366, 0.00437098, 0.0334847, 0.267248, 36.0094, 
0.000252985, 0.00413348, 0.0343732, 0.267038, 36.5491, 
0.000617224, 0.00412742, 0.0336889, 0.275617, 37.9452, 
0.000265976, 0.00397495, 0.0345841, 0.271604, 37.1355, 
0.000279316, 0.00422481, 0.0365599, 0.26206, 36.5557, 
