100x100, 250x250, 500x500, 1000x1000, 5000x5000, 15000x15000, 30000x30000, 
7.5912e-05, 2.4241e-05, 6.6312e-05, 0.00044933, 0.0109787, 0.0898982, 0.356691, 
0.000246875, 0.000978002, 0.000425159, 0.00043633, 0.0110264, 0.0930574, 0.35039, 
7.2952e-05, 0.000105773, 6.6852e-05, 0.000574683, 0.0106636, 0.0917277, 0.367704, 
8.5742e-05, 7.3842e-05, 0.000134586, 0.000575893, 0.0108344, 0.0913644, 0.358546, 
0.000137553, 0.000117553, 0.000136903, 0.00047916, 0.011978, 0.0930599, 0.373952, 
0.000107122, 2.2451e-05, 0.000198504, 0.000746777, 0.010988, 0.0886865, 0.383888, 
6.8006e-05, 8.4081e-05, 0.000145173, 0.000796187, 0.0109399, 0.0917543, 0.354107, 
4.73e-06, 2.017e-05, 5.2021e-05, 0.00090751, 0.0103406, 0.0907209, 0.369155, 
4.541e-06, 2.623e-05, 5.3761e-05, 0.00092499, 0.0108737, 0.0896175, 0.35608, 
0.00288738, 2.587e-05, 6.6282e-05, 0.000628574, 0.0107607, 0.0904041, 0.355498, 
7.8702e-05, 9.2441e-05, 0.00394739, 0.006049, 0.0140841, 0.0890528, 0.371993, 
7.1702e-05, 9.5007e-05, 0.000367329, 0.000700991, 0.0111475, 0.0883789, 0.353639, 
4.2471e-05, 6.6952e-05, 0.000126833, 0.000368053, 0.0108915, 0.0886325, 0.374383, 
6.6111e-05, 2.11e-05, 6.4232e-05, 0.000581893, 0.0106421, 0.0894325, 0.363957, 
7.83e-06, 0.000139784, 6.9672e-05, 0.000602663, 0.0105951, 0.0984752, 0.359721, 
4.1821e-05, 2.441e-05, 6.9182e-05, 0.000687635, 0.0110335, 0.0923424, 0.361115, 
8.8972e-05, 8.4892e-05, 0.000156304, 0.000364608, 0.0104162, 0.0885608, 0.36046, 
8.9659e-05, 2.475e-05, 4.9841e-05, 0.000611173, 0.0105926, 0.0894184, 0.351297, 
5.64e-06, 2.803e-05, 7.4342e-05, 0.000568593, 0.0109146, 0.0871465, 0.374647, 
4.92e-06, 2.6091e-05, 0.000111362, 0.000705205, 0.0107669, 0.0906348, 0.350944, 
9.3652e-05, 0.000105862, 0.000141784, 0.000435639, 0.0108624, 0.090059, 0.378205, 
4.1231e-05, 7.7871e-05, 0.000264186, 0.000636204, 0.0109952, 0.0888685, 0.355811, 
7.1262e-05, 6.4541e-05, 0.000159323, 0.000733116, 0.0108469, 0.0883125, 0.372936, 
0.00144002, 8.6902e-05, 0.000143538, 0.000829443, 0.0113094, 0.0899569, 0.35035, 
3.6601e-05, 3.132e-05, 0.000111582, 0.000504391, 0.0109979, 0.0880892, 0.35996, 
