100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000813178, 0.00544201, 0.035848, 0.271039, 35.3677, 
0.000957221, 0.006167, 0.0390079, 0.27524, 34.9007, 
0.00135202, 0.00792504, 0.0361884, 0.258761, 34.8652, 
0.00089255, 0.00559811, 0.0364831, 0.274367, 34.7386, 
0.00135678, 0.00542471, 0.0373981, 0.275108, 35.4151, 
0.000820908, 0.00586651, 0.0392556, 0.277161, 36.0083, 
0.00109724, 0.00559117, 0.0364678, 0.286598, 35.7924, 
0.000986742, 0.00606383, 0.0425798, 0.29382, 36.0662, 
0.00102604, 0.0084873, 0.0364575, 0.26989, 35.8551, 
0.0010742, 0.00560278, 0.0358766, 0.295288, 35.1263, 
0.00090977, 0.00547964, 0.0363837, 0.269481, 34.8751, 
0.0034049, 0.00619828, 0.0408623, 0.299813, 34.551, 
0.000752287, 0.00608219, 0.0384785, 0.26862, 36.1596, 
0.00090763, 0.00679386, 0.0370727, 0.278749, 35.668, 
