100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000350428, 0.0054589, 0.036772, 0.268973, 35.5548, 
0.000367768, 0.00470953, 0.0375353, 0.270791, 35.9573, 
0.00044823, 0.00484137, 0.0377365, 0.290396, 37.7164, 
0.000536882, 0.00642464, 0.0376946, 0.293642, 37.4757, 
0.000547762, 0.00521692, 0.0370818, 0.290952, 36.417, 
0.000508072, 0.00589838, 0.0401703, 0.300266, 36.8278, 
0.00045047, 0.00518417, 0.0370059, 0.282696, 36.9795, 
0.000418619, 0.00652946, 0.0375763, 0.278932, 36.6099, 
0.000342838, 0.00497364, 0.0383639, 0.289612, 36.3318, 
0.000482398, 0.00502935, 0.0374921, 0.28168, 37.3988, 
