100x100, 250x250, 500x500, 1000x1000, 5000x5000, 
0.000256986, 0.0038285, 0.0353473, 0.273385, 45.2842, 
0.000403689, 0.00457978, 0.0332728, 0.292344, 44.729, 
0.000402769, 0.00416155, 0.0392861, 0.266713, 45.1295, 
0.000438199, 0.00636667, 0.0432164, 0.268039, 45.0435, 
0.000403399, 0.00395324, 0.0315927, 0.277667, 42.8621, 
0.000413329, 0.0039488, 0.032147, 0.263332, 43.3145, 
0.000292637, 0.00420434, 0.0383316, 0.262065, 43.5825, 
0.000404939, 0.00539996, 0.037282, 0.26819, 43.0091, 
0.000409569, 0.00416713, 0.0323725, 0.262671, 42.8858, 
0.000403459, 0.00409634, 0.0341158, 0.263783, 42.6976, 
